ensemble,Δx,compressor,metric,n,mean_direct,p_value_vs_0,outlier_frac_>2sd
uniform40,0.001,lzma,r_PhIIb,50,-0.9620016048209244,7.0455784411668e-90,0.02
uniform40,0.001,lzma,r_Rg,50,0.7737410225672273,1.9420339291503512e-59,0.02
uniform40,0.001,lzma,r_NND,50,0.7302414877239012,1.1617367448761324e-56,0.02
uniform40,0.001,lzma,r_Var,50,0.5777019213522069,1.107562826333781e-47,0.02
uniform40,0.001,none,r_PhI,50,0.0,,0.0
uniform40,0.001,none,r_PhIIa,50,0.0,,0.0
uniform40,0.001,none,r_PhIIb,50,0.0,,0.0
uniform40,0.001,none,r_Rg,50,0.0,,0.0
uniform40,0.001,none,r_NND,50,0.0,,0.0
uniform40,0.001,none,r_Var,50,0.0,,0.0
uniform40,0.001,zstd,r_PhI,50,0.20385050236602276,8.117638095341211e-06,0.06
uniform40,0.001,zstd,r_PhIIa,50,-0.9880152493056842,6.415752612746635e-113,0.02
uniform40,0.001,zstd,r_PhIIb,50,-0.9888007796091128,2.6573388626230825e-117,0.04
uniform40,0.001,zstd,r_Rg,50,0.8486845879484645,3.681994049703891e-77,0.04
uniform40,0.001,zstd,r_NND,50,0.8108670440803284,3.3839288480955347e-77,0.04
uniform40,0.001,zstd,r_Var,50,0.6696253711522282,1.5096903507194252e-65,0.06
uniform40,0.01,bz2,r_PhI,50,0.3235941780148632,3.3403233545234386e-14,0.08
uniform40,0.01,bz2,r_PhIIa,50,-0.9534961910940696,6.324623558580943e-94,0.0
uniform40,0.01,bz2,r_PhIIb,50,-0.9528962061388019,1.6077954306139624e-96,0.06
uniform40,0.01,bz2,r_Rg,50,0.9064866982182561,9.615678484081809e-82,0.06
uniform40,0.01,bz2,r_NND,50,0.8782766906882926,6.792458048618262e-76,0.02
uniform40,0.01,bz2,r_Var,50,0.7627390659487199,1.367338449464944e-68,0.02
uniform40,0.01,gzip,r_PhI,50,0.4281328138323065,2.255117172666963e-18,0.02
uniform40,0.01,gzip,r_PhIIa,50,-0.9807287302458566,7.582608419012936e-109,0.06
